hero,category,ability_name,hotkey_or_tier,field,value
Artanis,abilities,Shield Overload,TRAIT,icon,Shield_Overload_Icon.png
Artanis,abilities,Shield Overload,TRAIT,description,"After taking damage while below 75% Health, Artanis gains a 365 point Shield for 5 seconds. Basic Attacks lower the cooldown of Shield Overload by 4 seconds.; 24; trait"
Artanis,abilities,Shield Overload,TRAIT,type,Shield
Artanis,abilities,Shield Overload,TRAIT,scaling,4.00%
Artanis,abilities,Shield Overload,TRAIT,affects,Self
Artanis,abilities,Shield Overload,TRAIT,props,Attack Modifier (cdr)
Artanis,abilities,Shield Overload,TRAIT,notes,"Shield applies after the damage that triggered Shield Overload is applied to Artanis's Health. However, Artanis will not die if Shield Overload is off cooldown, and no ""overkill"" damage will carry over to this Shield."
Artanis,abilities,Blade Dash,Q,icon,Blade_Dash_Icon.png
Artanis,abilities,Blade Dash,Q,description,"Dash forward and deal 63 damage to enemies, then return and deal 171 damage. Every enemy hit reduces the cooldown on Shield Overload by 1 second, and Heroes by 2 seconds."
Artanis,abilities,Blade Dash,Q,type,Spell Damage / Movement: Launch
Artanis,abilities,Blade Dash,Q,scaling,4.00%
Artanis,abilities,Blade Dash,Q,affects,Enemies / Self
Artanis,abilities,Blade Dash,Q,targeting,Point target
Artanis,abilities,Blade Dash,Q,props,"Piercing Skillshot, Clamping"
Artanis,abilities,Blade Dash,Q,cast,Instant
Artanis,abilities,Blade Dash,Q,range,8.0
Artanis,abilities,Blade Dash,Q,hitbox,3.0 x 3.0
Artanis,abilities,Blade Dash,Q,missile,- Min: 0.25 - Max: 50
Artanis,abilities,Blade Dash,Q,prop1,Dash duration
Artanis,abilities,Blade Dash,Q,val1,1.25 seconds
Artanis,abilities,Blade Dash,Q,notes,Both forward and backward dash grant Shield Overload cooldown reduction. Hitting an enemy at the very peak of the dash only damages with backward dash damage.
Artanis,abilities,Blade Dash,Q,cooldown,10
Artanis,abilities,Blade Dash,Q,cost,50
Artanis,abilities,Twin Blades,W,icon,Twin_Blades_Icon.png
Artanis,abilities,Twin Blades,W,description,Artanis's next Basic Attack immediately causes him to charge a short distance and strike the enemy 2 times.
Artanis,abilities,Twin Blades,W,type,Movement: Dash
Artanis,abilities,Twin Blades,W,affects,Self
Artanis,abilities,Twin Blades,W,target,No target
Artanis,abilities,Twin Blades,W,props,Primed
Artanis,abilities,Twin Blades,W,cast,Instant
Artanis,abilities,Twin Blades,W,range,3.5
Artanis,abilities,Twin Blades,W,missile,- Min: 5.0 - Max: 45
Artanis,abilities,Twin Blades,W,prop1,Strike interval
Artanis,abilities,Twin Blades,W,val1,0.25 seconds
Artanis,abilities,Twin Blades,W,notes,"Activating this Ability immediately resets Artanis's Basic Attack timer. Cooldown starts once the Ability is triggered by Basic Attacking an enemy. Twin Blades can be triggered while Rooted, but it doesn't dash."
Artanis,abilities,Twin Blades,W,cooldown,4
Artanis,abilities,Twin Blades,W,cost,20
Artanis,abilities,Phase Prism,E,icon,Phase_Prism_Icon.png
Artanis,abilities,Phase Prism,E,description,Fire a Phase Prism that deals 66 damage to Heroes and swaps Artanis's position with theirs. Hitting a Hero also grants Artanis Unstoppable for 1.5 seconds. Can be used during Blade Dash.
Artanis,abilities,Phase Prism,E,type,"Spell Damage, Crowd control / Movement: Launch, Status effect"
Artanis,abilities,Phase Prism,E,scaling,4.00%
Artanis,abilities,Phase Prism,E,affects,Enemy Heroes
Artanis,abilities,Phase Prism,E,target,Point target
Artanis,abilities,Phase Prism,E,props,"Clamping, Daze, Displacement, Skillshot, Stationary channel, Unstoppable"
Artanis,abilities,Phase Prism,E,cast,0.0625 + 0.1875 seconds
Artanis,abilities,Phase Prism,E,range,7.5
Artanis,abilities,Phase Prism,E,hitbox,1.0 x 1.0
Artanis,abilities,Phase Prism,E,missile,- Projectile: 12.7 - Swap: 18.0
Artanis,abilities,Phase Prism,E,notes,"Enemies can be swapped over terrain and enemy Structures, but not through allied Structures."
Artanis,abilities,Phase Prism,E,cooldown,12
Artanis,abilities,Phase Prism,E,cost,50
Artanis,abilities,Suppression Pulse,R,icon,Suppression_Pulse_Icon.png
Artanis,abilities,Suppression Pulse,R,description,"Fire a large area pulse from the Spear of Adun, dealing 114 damage and Blinding enemies for 4 seconds. Unlimited range.; 50; 40; heroic"
Artanis,abilities,Suppression Pulse,R,type,"Spell Damage, Crowd control"
Artanis,abilities,Suppression Pulse,R,scaling,4.00%
Artanis,abilities,Suppression Pulse,R,affects,Enemy Heroes
Artanis,abilities,Suppression Pulse,R,target,Point target
Artanis,abilities,Suppression Pulse,R,props,"Area of Effect, Blind, Self-castable"
Artanis,abilities,Suppression Pulse,R,cast,0 + 0.125 seconds
Artanis,abilities,Suppression Pulse,R,range,Global
Artanis,abilities,Suppression Pulse,R,aoe,Circle
Artanis,abilities,Suppression Pulse,R,radius,8.0
Artanis,abilities,Suppression Pulse,R,prop1,Initial delay
Artanis,abilities,Suppression Pulse,R,val1,1.25 seconds
Artanis,abilities,Suppression Pulse,R,prop2,Vision radius
Artanis,abilities,Suppression Pulse,R,val2,9.0
Artanis,abilities,Suppression Pulse,R,prop3,Vision duration
Artanis,abilities,Suppression Pulse,R,val3,3.0 seconds
Artanis,abilities,Purifier Beam,R,icon,Purifier_Beam_Icon.png
Artanis,abilities,Purifier Beam,R,description,"Target an enemy Hero with an orbital beam from the Spear of Adun, dealing 184 damage per second for 8 seconds. The beam will chase the target as they move. Unlimited range.; 70; 65; heroic"
Artanis,abilities,Purifier Beam,R,typer,Spell damage
Artanis,abilities,Purifier Beam,R,scaling,4.00%
